IdEstacion;NombreEstacion
16001;San Isidro
16002;Santo Domingo
16003;La Vega
16004;Pte. Muña
16005;Pte Aguas Claras
16006;San Francisco
16007;La Iberia
16008;El Volador
16009;Embalse Sisga
16010;Embalse Neusa
16011;Embalse Tominé
25001;San Bernardo
25002;Romeral
25003;El Palmar
25004;Palenque
25005;El Hoyito
25006;Los Andes
25007;El Vergel
25008;Sinaí
25009;Presa Guavio
25010;El Rodadero
26001;Puente Reyes
26004;Bocademonte
26005;San Antonio
26006;La Moya
27002;Hatogrande
27003;Santa Bárbara
36001;La Magdalena
36002;Salado Blanco
36003;Pericongo
36004;Puente Guacas
36005;Las Vueltas
36006;La Esperanza
36007;Puente Garcés
36008;Paicol
36009;Vega El Salado
45001;La Yaguilga
45002;La Jagua
45003;Alta Montaña
45004;Rio Loro
45005;La Enea
45006;Zona Cafetera
